Brand,Mentions
Nike,14168
V,8043
X,6090
Adidas,3668
NIKE,2583
adidas,2072
On,1449
Air Max,1330
Puma,1225
ON,1211
OW,1141
Dunk Low,1050
Jordan,924
nikestore,861
PUMA,854
SB,735
FinishLine,588
Cardano,581
nike_hoskinson,574
Air Jordan,553
TN,518
Samba,518
Air Force,441
Zoom Vomero,434
Reebok,434
Zoom Vomero 5,427
Jumpman,420
Air Force 1,413
Jumpman23,399
Mnike,392
NB,385
UA,378
Converse,378
NKE,364
Asics,357
ASICS,343
Onchain Summer,308
Tyler ICU,301
clot,280
DN,280
Gel,273
GS,273
RTFKT,266
BSTN,252
LeBron,245
Meta,238
Gazelle,238
Swoosh Series,224
Skechers,224
Amazon,224
BLACKPINK,217
IOHK_Charles,210
IOHK,210
Campus,210
Air Max Plus,210
Clot,203
WM,189
Yeezy,182
Rosé,175
LV,175
F1,168
Adidas Originals,161
eBay,154
Endclothing,147
VaporMax,140
Vans,140
VW,133
Samba Og,126
Manchester United,126
GQ,126
End Clothing,126
SNKRS,119
SNEK,119
Y3,112
PV,112
SOL,105
Air Max 90,105
A'ja Wilson,105
footlocker,98
MLB,98
JENNIE,98
Footlocker,98
END,98
Champs,98
Brodie Lee,98
AEW,98
eBay_UK,91
TKpro,91
TJ,91
MON,91
Gel-Kayano 14,91
Footdistrict,91
England,91
Apple,91
3M,91
New Balance,84
Netflix,84
cNFTfART,77
Walmart,77
Mercurial,77
The Swoosh,70
TSneakerzzz,70
Shallipopi,70
Offspring,70
NFL,70
Lojay,70
Barclays,70
Union,63
Tumelo ZA,63
Travis Scott,63
Sporty & Rich,63
SellKicksSunday,63
Sabrina,63
SNS,63
Luisaviaroma,63
JD Sports,63
GORE-TEX,63
Footpatrol,63
EURO2024,63
Delta,63
Crocs,63
Court Vision,63
Bad Bunny,63
ATT,63
Starbucks,56
Nairob_sneakers,56
HP,56
Etihad,56
Coach,56
Air Max 95,56
AE 1,56
YEEZY,49
Wales Bonner,49
WBA,49
Under Armour,49
Stussy,49
Stan Smith,49
Sneakersnstuff,49
Qiibee,49
Palace,49
Nocta,49
NUFC,49
NIKEAIR,49
MON Protocol,49
Lufthansa,49
JORDAN,49
Google,49
Football__Tweet,49
Foot Locker,49
ETH,49
Coinbase,49
American Express,49
YallahHabibiBTC,42
Tiffany,42
Supreme,42
Spotify,42
Shiekh,42
Reggae Boyz,42
Omen4Omen,42
NOCTA,42
Miles & More,42
Microsoft,42
Jordan Brand,42
Hoka,42
Ford,42
Fanatics,42
Etihad Guest,42
ENHYPEN,42
Allstate,42
rtfkt,35
Wu-Tang Clan,35
ULTRABOOST,35
UCLA,35
TylerICU,35
Swarovski,35
Saucony,35
Reuters,35
MoparGirls,35
KFC,35
Hyperice,35
HazardJersey10,35
Gentle Monster,35
FedEx,35
DexHunterIO,35
DJ Maphorisa,35
Chelsea,35
Charles Hoskinson,35
Chanel,35
CONVERSE,35
Binance,35
Barça,35
Airmax,35
AMBUSH,35
AAP,35
vans_huffer,28
itsREDIC,28
iphone,28
VivalaCoinBTC,28
Uber,28
TopSneakers_,28
TSLA,28
SKECHERS,28
Rihanna,28
Reuters World News,28
Reeboks,28
Parliament,28
Off-White,28
Off White,28
Nordstrom,28
Louis Vuitton,28
Log_a_Dog,28
Lingocoins,28
KFCinKenya,28
Jordans,28
Jellycube,28
Himalaya,28
Highlight_xyz,28
HUF,28
Genesis,28
Forbes,28
Dior,28
Detroit Tigers,28
Concepts,28
Chuck 70,28
Cecilie Bahnsen,28
Calvin Klein,28
Bonz0x,28
Blueprint,28
Blackmores,28
ApeGeneral_,28
AFC,28
AAPL,28
ZoomX,21
YEEZY BOOST 350 V2,21
Y-3,21
Volcom,21
Vogue,21
VANS,21
Undefeated,21
UCBerkeley,21
Therma-FIT,21
The Sandlot,21
Tech Fleece,21
TVS,21
Super Puma,21
Stüssy,21
Skiilzjr,21
Samsung,21
Sacai,21
Rocket Racing,21
Rivian,21
Red Tape,21
Red Chief,21
ROSEDAYS,21
Playstation,21
PSG,21
PEP,21
PAYC,21
OlympicsKe,21
Nikke,21
Nicole Hause,21
NXT,21
Marvel,21
ManUtd,21
MallardOrder,21
MURAKAMI,21
MSCHF,21
Lululemon,21
Lance Berkman,21
KD17,21
Jordan Spizike,21
JNJ,21
JDSports,21
Guess,21
Givenchy,21
GQ Korea,21
Fenty,21
FIFA,21
Dj Maphorisa,21
DSTV,21
CryptoGnojek,21
Court Vision Alta,21
Congress,21
Christmas,21
CUDIS,21
CLOT,21
CDG,21
BitDoctor,21
Beyoncé,21
All Star,21
AkuDreams,21
Ajax,21
Ahava,21
zoom,14
takashipom,14
solana,14
pleaser_shoes,14
onefootball,14
okabbby,14
mgmgranddetroit,14
juventusfc,14
jeep,14
binance,14
alloutamazon,14
adidasDugout,14
Yamamoto,14
Wetherspoons,14
Vins_Clad_Houz,14
Valentino,14
VAVortex,14
Union Los Angeles,14
Union LA,14
Truly,14
Tree Hugger,14
Tractor Supply,14
Takashi Pom,14
TATA,14
Street Kart,14
Stone Island,14
Stella McCartney,14
Stan smith,14
SpottieWiFi,14
Southern Indiana,14
Sony,14
Sephora,14
SaturnSwapIO,14
Safeway,14
Safaricom,14
STARBUCKS,14
SONG FOR THE MUTE,14
SECT,14
Ræburn,14
Run Star Trainer,14
RCT30,14
QBX,14
Prada,14
Peter Millar,14
PYPL,14
PEACEMINUSONE,14
Oscar,14
Nota,14
NextHealth,14
Mr.Porter,14
MilesAndMore,14
Magic Eden,14
MSFT,14
MLS,14
MGBedford,14
LibertyCity Ventures,14
LeBron James,14
Lacoste,14
LIX,14
LIBRE-FL,14
Kappa,14
Juventus,14
Jordan Flight,14
Jjjjound,14
Jacquemus,14
JJJJound,14
Ivy Park,14
Humanrace,14
Huf,14
Gucci,14
Grand Park Premier NXT,14
Gianpiero,14
Gel-Terrain,14
GTT,14
GOOG,14
Futura Laboratories,14
Florida Gators,14
Fizen,14
Fendi,14
EtihadGuest,14
Equinox,14
Dime,14
DigiBohemClub,14
Derby,14
Deion Sanders,14
Cutter & Buck,14
Court Borough Low,14
ClioSports,14
Chamsp,14
Celine,14
Calm Mule,14
CPFM,14
COMME des GARÇONS,14
CLOSER,14
CARHARTT,14
Brooks,14
Black Pumas,14
Bidenomics,14
Benz,14
BSN,14
BODE,14
BABA,14
Atmos Tokyo,14
Anta,14
Animoca,14
AggieBaseball,14
AWGE,14
ATHENA,14
AMZN,14
teamveganfta,7
splashprotocol,7
sneakersnstuff,7
officialcollinc,7
inBetweenersNFT,7
enikejimiiofdarincakes,7
banditsbtc,7
Zara,7
ZARA,7
Young Bastards,7
Yonex,7
YVMIN,7
Y Magazine,7
XMTP,7
Wu Tang,7
World Athletics,7
When Pigs Fly,7
Wembley Outlet,7
WTC,7
VyFi,7
Vman Magazine,7
Vivienne Westwood,7
Vista,7
Victor De Souza,7
Versace,7
Vauxhall,7
Vaseline,7
V Magazine,7
Universe Media Asia,7
Undercover,7
Ulkin,7
Ugg,7
USAbasketball,7
UP THERE,7
Travis Scotts,7
Travala,7
Tory Burch,7
TomFord,7
Tom Ford,7
Tod's,7
Tinashe,7
Timex,7
Timberlands,7
Thriving_luos,7
Thorrell,7
The_AdProfessor,7
TheShopUN,7
The Venture,7
The North Face,7
Texas Tech University,7
Tesla,7
Teen Vogue,7
Team Scoot,7
Team GB,7
Tash Sultana,7
Tasaki,7
TYT_ATTYRE,7
TMC,7
TATA STAR SPORTS,7
Sublime,7
Stryker,7
Street Football Games,7
Steve Madden,7
Stacey,7
Sports Direct,7
Spalding,7
Sorel,7
Song for the Mute,7
Someone Somewhere,7
SoleSavy,7
Snoh,7
Sky High Farm,7
SkeyNetwork,7
Skepta,7
Singles Magazine,7
Sheena,7
Sevenstore,7
Sean Cliver,7
Salomon,7
SUBLIME,7
SHEIN,7
SG Sports,7
Roses_N_Lilies,7
Rooted in Substance,7
Ronnie Fieg,7
Romaloes,7
Rigouts,7
Revelator_News,7
Redbird Capital Partners,7
Red Robin,7
Rare Evo,7
Rams,7
Ralph Sampson,7
Ralph Lauren,7
RUKUS,7
RTFTKFTK,7
RQ-20,7
ROOT,7
ROLEX,7
REDVELVET,7
RCT120,7
Qamis,7
Pumas ML,7
Proenza Schouler,7
Pro Player,7
Prline Korea,7
Privé Alliance,7
PixelTap,7
PROFILES by MOTO,7
PME,7
Ottonlinger,7
Oral B,7
Oqium,7
OptimFi,7
On-running,7
On Cloud,7
Omega,7
Ok Tedi,7
Off-white,7
Oddatelier,7
Odd Atelier,7
Oakley,7
OBHXTigerFoods,7
OADA,7
Nokia,7
Noah,7
Nivea,7
