Brand,Mentions
Nike,2024
V,1149
X,870
Adidas,524
NIKE,369
adidas,296
On,207
Air Max,190
Puma,175
ON,173
OW,163
Dunk Low,150
Jordan,132
nikestore,123
PUMA,122
SB,105
FinishLine,84
Cardano,83
nike_hoskinson,82
Air Jordan,79
TN,74
Samba,74
Air Force,63
Zoom Vomero,62
Reebok,62
Zoom Vomero 5,61
Jumpman,60
Air Force 1,59
Jumpman23,57
Mnike,56
NB,55
UA,54
Converse,54
NKE,52
Asics,51
ASICS,49
Onchain Summer,44
Tyler ICU,43
clot,40
DN,40
Gel,39
GS,39
RTFKT,38
BSTN,36
LeBron,35
Meta,34
Gazelle,34
Swoosh Series,32
Skechers,32
Amazon,32
BLACKPINK,31
IOHK_Charles,30
IOHK,30
Campus,30
Air Max Plus,30
Clot,29
WM,27
Yeezy,26
Rosé,25
LV,25
F1,24
Adidas Originals,23
eBay,22
Endclothing,21
VaporMax,20
Vans,20
VW,19
Samba Og,18
Manchester United,18
GQ,18
End Clothing,18
SNKRS,17
SNEK,17
Y3,16
PV,16
SOL,15
Air Max 90,15
A'ja Wilson,15
footlocker,14
MLB,14
JENNIE,14
Footlocker,14
END,14
Champs,14
Brodie Lee,14
AEW,14
eBay_UK,13
TKpro,13
TJ,13
MON,13
Gel-Kayano 14,13
Footdistrict,13
England,13
Apple,13
3M,13
New Balance,12
Netflix,12
cNFTfART,11
Walmart,11
Mercurial,11
The Swoosh,10
TSneakerzzz,10
Shallipopi,10
Offspring,10
NFL,10
Lojay,10
Barclays,10
Union,9
Tumelo ZA,9
Travis Scott,9
Sporty & Rich,9
SellKicksSunday,9
Sabrina,9
SNS,9
Luisaviaroma,9
JD Sports,9
GORE-TEX,9
Footpatrol,9
EURO2024,9
Delta,9
Crocs,9
Court Vision,9
Bad Bunny,9
ATT,9
Starbucks,8
Nairob_sneakers,8
HP,8
Etihad,8
Coach,8
Air Max 95,8
AE 1,8
YEEZY,7
Wales Bonner,7
WBA,7
Under Armour,7
Stussy,7
Stan Smith,7
Sneakersnstuff,7
Qiibee,7
Palace,7
Nocta,7
NUFC,7
NIKEAIR,7
MON Protocol,7
Lufthansa,7
JORDAN,7
Google,7
Football__Tweet,7
Foot Locker,7
ETH,7
Coinbase,7
